Title,Subtitle,Narrated By,Series,Length,Release Date,Language,Ratings
The Price You Pay for College,An Entirely New Roadmap for the Biggest Financial Decision Your Family Will Ever Make,Narrated by: Ron Lieber,,Length: 12 hrs and 3 mins,Release date: 01-26-21,Language: English,"4.5 out of 5 stars
155 ratings"
The Dhandho Investor,The Low-Risk Value Method to High Returns,Narrated by: Neil Shah,,Length: 5 hrs and 4 mins,Release date: 07-30-19,Language: English,"5 out of 5 stars
973 ratings"
The Millionaire Master Plan,Your Personalized Path to Financial Success,Narrated by: Ben Giroux,,Length: 7 hrs and 53 mins,Release date: 07-29-14,Language: English,"4.5 out of 5 stars
131 ratings"
Ecommerce Empire,The Definitive Guide to Starting & Scaling a Future-Proof Online Business,Narrated by: Peter Pru,,Length: 3 hrs and 36 mins,Release date: 01-13-22,Language: English,"4.5 out of 5 stars
35 ratings"
Blue Ocean Strategy,How to Create Uncontested Market Space and Make Competition Irrelevant,Narrated by: Grover Gardner,,Length: 6 hrs and 27 mins,Release date: 07-28-06,Language: English,"4 out of 5 stars
3,572 ratings"
Why 'A' Students Work for 'C' Students and 'B' Students Work for the Government,Rich Dad's Guide to Financial Education for Parents,Narrated by: Tim Wheeler,Series: Rich Dad Series,Length: 11 hrs and 5 mins,Release date: 09-08-13,Language: English,"4.5 out of 5 stars
682 ratings"
How to Swing Trade,,Narrated by: Jason R. Gray,,Length: 7 hrs and 48 mins,Release date: 11-16-18,Language: English,"4.5 out of 5 stars
222 ratings"
Technical Analysis of the Financial Markets,A Comprehensive Guide to Trading Methods and Applications,Narrated by: Jamie Renell,,Length: 9 hrs and 43 mins,Release date: 12-29-20,Language: English,"4.5 out of 5 stars
169 ratings"
The Dynamic Laws of Prosperity,,Narrated by: Karen Commins,,Length: 11 hrs and 24 mins,Release date: 08-27-20,Language: English,"5 out of 5 stars
178 ratings"
The Wolf of Wall Street,,Narrated by: Bobby Cannavale,"Series: The Wolf of Wall Street (abridged), Book 1",Length: 4 hrs and 57 mins,Release date: 09-11-07,Language: English,"4.5 out of 5 stars
897 ratings"
Product-Led Growth,How to Build a Product That Sells Itself,Narrated by: Derek Dysart,,Length: 4 hrs and 23 mins,Release date: 10-28-19,Language: English,"4.5 out of 5 stars
256 ratings"
Against the Gods,The Remarkable Story of Risk,Narrated by: Mike Fraser,,Length: 14 hrs and 27 mins,Release date: 04-28-21,Language: English,"4.5 out of 5 stars
234 ratings"
How Innovation Works,And Why It Flourishes in Freedom,Narrated by: Matt Ridley,,Length: 12 hrs and 34 mins,Release date: 05-19-20,Language: English,"4.5 out of 5 stars
734 ratings"
The Wealthy Gardener,Lessons on Prosperity Between Father and Son,Narrated by: Dennis Kleinman,,Length: 12 hrs and 56 mins,Release date: 02-25-20,Language: English,"5 out of 5 stars
1,165 ratings"
Unknown Market Wizards,The Best Traders You've Never Heard Of,Narrated by: DJ Holte,,Length: 12 hrs,Release date: 11-03-20,Language: English,"4.5 out of 5 stars
837 ratings"
"Investing for Dummies, 9th Edition",,Narrated by: Peter Lerman,,Length: 18 hrs and 54 mins,Release date: 02-09-21,Language: English,"4.5 out of 5 stars
59 ratings"
The Deficit Myth,Modern Monetary Theory and the Birth of the People's Economy,Narrated by: Stephanie Kelton,,Length: 10 hrs and 52 mins,Release date: 06-09-20,Language: English,"4.5 out of 5 stars
1,498 ratings"
Lights Out,"Pride, Delusion, and the Fall of General Electric",Narrated by: James Edward Thomas,,Length: 13 hrs and 38 mins,Release date: 07-21-20,Language: English,"4.5 out of 5 stars
333 ratings"
The Cult of We,"WeWork, Adam Neumann, and the Great Startup Delusion",Narrated by: Thérèse Plummer,,Length: 13 hrs and 14 mins,Release date: 07-20-21,Language: English,"5 out of 5 stars
855 ratings"
A Culture of Growth,The Origins of the Modern Economy,Narrated by: Anu Anand,,Length: 15 hrs and 50 mins,Release date: 02-07-23,Language: English,Not rated yet
The New Roaring Twenties,Prosper in Volatile Times,Narrated by: Elisabeth Rodgers,,Length: 8 hrs and 40 mins,Release date: 03-21-23,Language: English,"5 out of 5 stars
1 rating"
HOLD,"How to Find, Buy, and Rent Houses for Wealth","Narrated by: Paul Keith, Laura Seaton",,Length: 7 hrs,Release date: 10-18-13,Language: English,"4.5 out of 5 stars
983 ratings"
One Thousand Ways to Make $1000,,Narrated by: Mark McDevitt,,Length: 13 hrs and 24 mins,Release date: 09-26-22,Language: English,"5 out of 5 stars
1 rating"
America and the Art of the Possible,Restoring National Vitality in an Age of Decay,Narrated by: Alex Boyles,,Length: 6 hrs and 22 mins,Release date: 01-10-23,Language: English,"5 out of 5 stars
5 ratings"
Side Hustle,From Idea to Income in 27 Days,Narrated by: Chris Guillebeau,,Length: 4 hrs and 51 mins,Release date: 09-19-17,Language: English,"4.5 out of 5 stars
1,482 ratings"
Megathreats,Ten Threats to Our Future and How to Survive Them,Narrated by: Kamran Khan,,Length: 10 hrs and 3 mins,Release date: 10-20-22,Language: English,"4 out of 5 stars
17 ratings"
Digital Gold,Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Narrated by: Robert Fass,,Length: 10 hrs and 49 mins,Release date: 05-19-15,Language: English,"4.5 out of 5 stars
2,125 ratings"
"How Real Estate Developers Think: Design, Profits, and Community",The City in the Twenty-First Century,Narrated by: Chaz Allen,,Length: 10 hrs and 37 mins,Release date: 12-28-15,Language: English,"4.5 out of 5 stars
284 ratings"
LLC Startup 2023: How To Create Financial Freedom Through Launching a Successful Small Business,From Creating a Business Plan for The Limited Liability Company to Turning the Vision Into a Reality,Narrated by: Nicholas Regan,,Length: 4 hrs and 25 mins,Release date: 12-06-22,Language: English,"5 out of 5 stars
51 ratings"
It's Not About the Money,A Proven Path to Building Wealth and Living the Rich Life You Deserve,Narrated by: Scarlett Cochran,,Length: 6 hrs and 22 mins,Release date: 02-14-23,Language: English,"5 out of 5 stars
6 ratings"
Taxes for Small Businesses 2023,"Beginners Guide to Understanding LLC, Sole Proprietorship, and Startup Taxes. Cutting Edge Strategies Explained to Reduce Taxes for Business, Investing, & More.",Narrated by: Nicholas Regan,,Length: 4 hrs and 32 mins,Release date: 02-10-23,Language: English,"5 out of 5 stars
50 ratings"
Skip the Flip,Secrets the 1% Know About Real Estate Investing,Narrated by: Hayden Crabtree,,Length: 3 hrs and 19 mins,Release date: 12-08-20,Language: English,"5 out of 5 stars
110 ratings"
The Death of Money,The Coming Collapse of the International Monetary System,Narrated by: Sean Pratt,,Length: 13 hrs and 13 mins,Release date: 04-08-14,Language: English,"4.5 out of 5 stars
1,082 ratings"
The Ultimate Guide to Selling on Etsy,,Narrated by: Ellie McCoy,,Length: 11 hrs and 33 mins,Release date: 08-11-22,Language: English,"4 out of 5 stars
2 ratings"
How to Create Lifetime Cashflow Through Multifamily Properties,The New Rules of Real Estate Investing,Narrated by: Rod Khleif,,Length: 6 hrs and 24 mins,Release date: 08-02-21,Language: English,"5 out of 5 stars
55 ratings"
Net Positive,How Courageous Companies Thrive by Giving More than They Take,"Narrated by: Tom Parks, Paul Polman, Andrew Winston",,Length: 12 hrs and 17 mins,Release date: 10-26-21,Language: English,"4.5 out of 5 stars
88 ratings"
The Broken Heart of America,St. Louis and the Violent History of the United States,Narrated by: Jamie Renell,,Length: 15 hrs and 46 mins,Release date: 04-14-20,Language: English,"4.5 out of 5 stars
242 ratings"
Speed & Scale,An Action Plan for Solving Our Climate Crisis Now,"Narrated by: John Doerr, Sundar Pichai, Margot Brown, Badri Kothandaraman, Bruce Nilles, Jagdeep Singh, Laurene Powell Jobs, Jan Van Dokkum, Christiana Figueres, Fred Krupp",,Length: 11 hrs and 58 mins,Release date: 11-09-21,Language: English,"4.5 out of 5 stars
214 ratings"
Don't Trust Your Gut,Using Data to Get What You Really Want in Life,Narrated by: Timothy Andrés Pabon,,Length: 6 hrs and 10 mins,Release date: 05-10-22,Language: English,"4.5 out of 5 stars
277 ratings"
Irrational Exuberance,Revised and Expanded Third Edition,Narrated by: Mike Chamberlain,,Length: 13 hrs and 47 mins,Release date: 11-25-20,Language: English,"4.5 out of 5 stars
110 ratings"
The Book on Investing In Real Estate with No (and Low) Money Down,Creative Strategies for Investing in Real Estate Using Other People's Money (BiggerPockets Rental Kit 1),Narrated by: Brandon Turner,,Length: 5 hrs and 33 mins,Release date: 11-06-14,Language: English,"4.5 out of 5 stars
4,161 ratings"
First-Time Home Buyer,The Complete Playbook to Avoiding Rookie Mistakes,Narrated by: Tyler Boss,,Length: 5 hrs and 12 mins,Release date: 04-13-21,Language: English,"5 out of 5 stars
273 ratings"
A History of the United States in Five Crashes,Stock Market Meltdowns That Defined a Nation,Narrated by: Christopher Grove,,Length: 12 hrs and 32 mins,Release date: 06-13-17,Language: English,"4.5 out of 5 stars
858 ratings"
Money Honey,A Simple 7-Step Guide for Getting Your Financial $hit Together,Narrated by: Lela Rhodes,,Length: 5 hrs and 4 mins,Release date: 02-11-20,Language: English,"4.5 out of 5 stars
142 ratings"
Capital and Ideology,,Narrated by: Rick Adamson,,Length: 48 hrs and 57 mins,Release date: 03-10-20,Language: English,"4.5 out of 5 stars
327 ratings"
Rich Dad's Cashflow Quadrant,Guide to Financial Freedom,Narrated by: Tim Wheeler,Series: Rich Dad Series,Length: 8 hrs and 48 mins,Release date: 01-01-12,Language: English,"5 out of 5 stars
14,858 ratings"
Fixer-Upper,How to Repair America’s Broken Housing Systems,Narrated by: Suzie Althens,,Length: 5 hrs and 46 mins,Release date: 05-31-22,Language: English,"4.5 out of 5 stars
30 ratings"
The Science of Getting Rich,,Narrated by: Brian Holsopple,,Length: 2 hrs and 19 mins,Release date: 03-26-14,Language: English,"5 out of 5 stars
1,255 ratings"
El espejo de la pobreza [The Mirror of Poverty],Cómo conseguir libertad financiera y acabar con tus deudas [How to Get Financial Freedom and End Your Debt],Narrated by: Roberto Medina Martínez,,Length: 1 hr and 54 mins,Release date: 04-21-21,Language: Spanish,"4 out of 5 stars
9 ratings"
Infinity Investing,How the Rich Get Richer and How You Can Do the Same,Narrated by: Kyle Cunningham,,Length: 6 hrs and 21 mins,Release date: 04-28-21,Language: English,"5 out of 5 stars
131 ratings"
"Money Isn't the Problem, You Are",,Narrated by: Connor Hill,,Length: 2 hrs and 38 mins,Release date: 12-28-17,Language: English,"4.5 out of 5 stars
348 ratings"
The Meat Racket,The Secret Takeover of America's Food Business,Narrated by: John Pruden,,Length: 11 hrs and 26 mins,Release date: 04-01-14,Language: English,"4.5 out of 5 stars
198 ratings"
You Will Own Nothing,Your War with a New Financial World Order and How to Fight Back,Narrated by: Chris Henry Coffey,,Length: 10 hrs and 45 mins,Release date: 07-18-23,Language: English,Not rated yet
Ride the Amazon Wave,The Pro Seller's Guide to Private Label Success,Narrated by: Eric Altheide,,Length: 7 hrs and 31 mins,Release date: 11-09-22,Language: English,"5 out of 5 stars
12 ratings"
Playing with FIRE (Financial Independence Retire Early),How Far Would You Go for Financial Freedom?,Narrated by: Scott Rieckens,,Length: 4 hrs and 37 mins,Release date: 01-18-19,Language: English,"4.5 out of 5 stars
714 ratings"
Born to Win,Find Your Success,Narrated by: Andy Andrews,,Length: 4 hrs and 31 mins,Release date: 01-01-17,Language: English,"4.5 out of 5 stars
1,465 ratings"
Skin in the Game,Hidden Asymmetries in Daily Life,Narrated by: Joe Ochman,Series: Incerto,Length: 8 hrs and 20 mins,Release date: 02-27-18,Language: English,"4.5 out of 5 stars
5,149 ratings"
Think Like a Freak,The Authors of Freakonomics Offer to Retrain Your Brain,Narrated by: Stephen J. Dubner,,Length: 7 hrs and 5 mins,Release date: 05-12-14,Language: English,"4.5 out of 5 stars
5,606 ratings"
El cuadrante del flujo de dinero [Cashflow Quadrant],,Narrated by: Jesús Flores Jaimes,"Series: Padre rico, padre pobre [Rich Dad, Poor Dad Series]",Length: 8 hrs and 58 mins,Release date: 04-06-17,Language: Spanish,"5 out of 5 stars
1,095 ratings"
Why Gold? Why Now?: The War Against Your Wealth and How to Win It,,Narrated by: E.B. Tucker,,Length: 4 hrs and 57 mins,Release date: 06-16-20,Language: English,"5 out of 5 stars
702 ratings"
The Voltage Effect,How to Make Good Ideas Great and Great Ideas Scale,Narrated by: Will Damron,,Length: 8 hrs and 26 mins,Release date: 02-01-22,Language: English,"4.5 out of 5 stars
297 ratings"
Invent and Wander,"The Collected Writings of Jeff Bezos, with an Introduction by Walter Isaacson",Narrated by: L. J. Ganser,,Length: 8 hrs and 55 mins,Release date: 11-17-20,Language: English,"4 out of 5 stars
544 ratings"
Can't Even,How Millennials Became the Burnout Generation,Narrated by: Anne Helen Petersen,,Length: 8 hrs and 25 mins,Release date: 09-22-20,Language: English,"4.5 out of 5 stars
477 ratings"
Trading for a Living,"Psychology, Trading Tactics, Money Management",Narrated by: Richard Davison,,Length: 2 hrs and 58 mins,Release date: 07-08-05,Language: English,"4.5 out of 5 stars
2,353 ratings"
Governing the Commons,The Evolution of Institutions for Collective Action (Canto Classics),Narrated by: Kathleen Godwin,,Length: 10 hrs and 25 mins,Release date: 12-08-22,Language: English,"4.5 out of 5 stars
5 ratings"
Financial Peace,Restoring Financial Hope to You and Your Family,Narrated by: Dave Ramsey,,Length: 1 hr and 31 mins,Release date: 05-06-11,Language: English,"4.5 out of 5 stars
2,005 ratings"
Debt - Updated and Expanded,"The First 5,000 Years",Narrated by: Grover Gardner,,Length: 17 hrs and 48 mins,Release date: 09-15-15,Language: English,"4.5 out of 5 stars
3,501 ratings"
Adapt,Why Success Always Starts with Failure,Narrated by: Jonathan Keeble,,Length: 9 hrs and 53 mins,Release date: 06-03-11,Language: English,"4 out of 5 stars
269 ratings"
Jim Cramer's Get Rich Carefully,,Narrated by: James J. Cramer,,Length: 16 hrs and 18 mins,Release date: 12-31-13,Language: English,"4.5 out of 5 stars
768 ratings"
Biomimicry,Innovation Inspired by Nature,Narrated by: Callie Beaulieu,,Length: 14 hrs and 55 mins,Release date: 04-21-20,Language: English,"4.5 out of 5 stars
38 ratings"
Hangry,A Startup Journey,Narrated by: Mike Evans,,Length: 8 hrs and 46 mins,Release date: 11-01-22,Language: English,"5 out of 5 stars
73 ratings"
Wealth Habits,Six Ordinary Steps to Achieve Extraordinary Financial Freedom,Narrated by: Candy Valentino,,Length: 8 hrs and 40 mins,Release date: 04-25-23,Language: English,"5 out of 5 stars
1 rating"
The Behavioral Investor,,Narrated by: Matthew R. Doyle,,Length: 8 hrs and 23 mins,Release date: 06-17-19,Language: English,"4.5 out of 5 stars
175 ratings"
12 Months to $1 Million,"How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur",Narrated by: Ryan Daniel Moran,,Length: 7 hrs and 38 mins,Release date: 08-11-20,Language: English,"5 out of 5 stars
3,168 ratings"
Earth for All,A Survival Guide for Humanity,Narrated by: Chris MacDonnell,,Length: 6 hrs and 50 mins,Release date: 09-26-22,Language: English,"5 out of 5 stars
6 ratings"
You Are a Badass at Making Money,Master the Mindset of Wealth,Narrated by: Jen Sincero,,Length: 6 hrs and 59 mins,Release date: 04-18-17,Language: English,"5 out of 5 stars
21,218 ratings"
Learn to Earn,A Beginner's Guide to the Basics of Investing and Business,Narrated by: Peter Lynch,,Length: 1 hr and 38 mins,Release date: 07-14-06,Language: English,"4.5 out of 5 stars
833 ratings"
New Power,How Power Works in Our Hyperconnected World--and How to Make It Work for You,Narrated by: Andrew Fallaize,,Length: 9 hrs and 50 mins,Release date: 04-03-18,Language: English,"4.5 out of 5 stars
281 ratings"
Red Notice,"A True Story of High Finance, Murder and One Man's Fight for Justice",Narrated by: Adam Grupper,,Length: 14 hrs and 7 mins,Release date: 02-03-15,Language: English,"5 out of 5 stars
14,291 ratings"
Raising Capital for Real Estate,"How to Attract Investors, Establish Credibility, and Fund Deals",Narrated by: Hunter Thompson,,Length: 5 hrs and 43 mins,Release date: 12-24-19,Language: English,"5 out of 5 stars
197 ratings"
Managing God's Money,A Biblical Guide,Narrated by: Jon Gauger,,Length: 5 hrs and 55 mins,Release date: 03-01-11,Language: English,"4.5 out of 5 stars
169 ratings"
The Spender's Guide to Debt-Free Living,How a Spending Fast Helped Me Get from Broke to Badass in Record Time,Narrated by: Carly Robins,,Length: 7 hrs and 34 mins,Release date: 04-26-16,Language: English,"4.5 out of 5 stars
364 ratings"
"The Conversion Code, 2nd Edition",Stop Chasing Leads and Start Attracting Clients,Narrated by: Chris Smith,,Length: 8 hrs and 45 mins,Release date: 07-26-22,Language: English,"5 out of 5 stars
21 ratings"
Rich Dad's Guide to Investing,What the Rich Invest In That the Poor and Middle Class Do Not!,Narrated by: Tim Wheeler,Series: Rich Dad Series,Length: 14 hrs and 27 mins,Release date: 01-01-12,Language: English,"4.5 out of 5 stars
5,500 ratings"
How to Attract Money,The Original Classic of Abundance,Narrated by: Mitch Horowitz,,Length: 2 hrs,Release date: 05-30-17,Language: English,"4.5 out of 5 stars
618 ratings"
